Vivado Simulator 2018.2
Time resolution is 1 ps
Time=0, data=11010110, amt=0, result=11010110
Time=10000, data=11010110, amt=1, result=01101011
Time=20000, data=11010110, amt=2, result=10110101
Time=30000, data=11010110, amt=3, result=11011010
Time=40000, data=11010110, amt=4, result=01101101
Time=50000, data=11010110, amt=5, result=10110110
Time=60000, data=11010110, amt=6, result=01011011
Time=70000, data=11010110, amt=7, result=10101101
Time=80000, data=11010110, amt=0, result=11010110
Time=90000, data=11010110, amt=1, result=01101011
Time=100000, data=11010110, amt=2, result=10110101
Time=110000, data=11010110, amt=3, result=11011010
Time=120000, data=11010110, amt=4, result=01101101
Time=130000, data=11010110, amt=5, result=10110110
Time=140000, data=11010110, amt=6, result=01011011
Time=150000, data=11010110, amt=7, result=10101101
Time=160000, data=11010110, amt=0, result=11010110
Time=170000, data=11010110, amt=1, result=01101011
Time=180000, data=11010110, amt=2, result=10110101
Time=190000, data=11010110, amt=3, result=11011010
Time=200000, data=11010110, amt=4, result=01101101
Time=210000, data=11010110, amt=5, result=10110110
Time=220000, data=11010110, amt=6, result=01011011
Time=230000, data=11010110, amt=7, result=10101101
Time=240000, data=11010110, amt=0, result=11010110
Time=250000, data=11010110, amt=1, result=01101011
Time=260000, data=11010110, amt=2, result=10110101
Time=270000, data=11010110, amt=3, result=11011010
Time=280000, data=11010110, amt=4, result=01101101
Time=290000, data=11010110, amt=5, result=10110110
Time=300000, data=11010110, amt=6, result=01011011
Time=310000, data=11010110, amt=7, result=10101101
Time=320000, data=11010110, amt=0, result=11010110
Time=330000, data=11010110, amt=1, result=01101011
Time=340000, data=11010110, amt=2, result=10110101
Time=350000, data=11010110, amt=3, result=11011010
Time=360000, data=11010110, amt=4, result=01101101
Time=370000, data=11010110, amt=5, result=10110110
Time=380000, data=11010110, amt=6, result=01011011
Time=390000, data=11010110, amt=7, result=10101101
Time=400000, data=11010110, amt=0, result=11010110
Time=410000, data=11010110, amt=1, result=01101011
Time=420000, data=11010110, amt=2, result=10110101
Time=430000, data=11010110, amt=3, result=11011010
Time=440000, data=11010110, amt=4, result=01101101
Time=450000, data=11010110, amt=5, result=10110110
Time=460000, data=11010110, amt=6, result=01011011
Time=470000, data=11010110, amt=7, result=10101101
Time=480000, data=11010110, amt=0, result=11010110
Time=490000, data=11010110, amt=1, result=01101011
Time=500000, data=11010110, amt=2, result=10110101
Time=510000, data=11010110, amt=3, result=11011010
Time=520000, data=11010110, amt=4, result=01101101
Time=530000, data=11010110, amt=5, result=10110110
Time=540000, data=11010110, amt=6, result=01011011
Time=550000, data=11010110, amt=7, result=10101101
Time=560000, data=11010110, amt=0, result=11010110
Time=570000, data=11010110, amt=1, result=01101011
Time=580000, data=11010110, amt=2, result=10110101
Time=590000, data=11010110, amt=3, result=11011010
Time=600000, data=11010110, amt=4, result=01101101
Time=610000, data=11010110, amt=5, result=10110110
Time=620000, data=11010110, amt=6, result=01011011
Time=630000, data=11010110, amt=7, result=10101101
Time=640000, data=11010110, amt=0, result=11010110
Time=650000, data=11010110, amt=1, result=01101011
Time=660000, data=11010110, amt=2, result=10110101
Time=670000, data=11010110, amt=3, result=11011010
Time=680000, data=11010110, amt=4, result=01101101
Time=690000, data=11010110, amt=5, result=10110110
Time=700000, data=11010110, amt=6, result=01011011
Time=710000, data=11010110, amt=7, result=10101101
Time=720000, data=11010110, amt=0, result=11010110
Time=730000, data=11010110, amt=1, result=01101011
Time=740000, data=11010110, amt=2, result=10110101
Time=750000, data=11010110, amt=3, result=11011010
Time=760000, data=11010110, amt=4, result=01101101
Time=770000, data=11010110, amt=5, result=10110110
Time=780000, data=11010110, amt=6, result=01011011
Time=790000, data=11010110, amt=7, result=10101101
Time=800000, data=11010110, amt=0, result=11010110
Time=810000, data=11010110, amt=1, result=01101011
Time=820000, data=11010110, amt=2, result=10110101
Time=830000, data=11010110, amt=3, result=11011010
Time=840000, data=11010110, amt=4, result=01101101
Time=850000, data=11010110, amt=5, result=10110110
Time=860000, data=11010110, amt=6, result=01011011
Time=870000, data=11010110, amt=7, result=10101101
Time=880000, data=11010110, amt=0, result=11010110
Time=890000, data=11010110, amt=1, result=01101011
Time=900000, data=11010110, amt=2, result=10110101
Time=910000, data=11010110, amt=3, result=11011010
Time=920000, data=11010110, amt=4, result=01101101
Time=930000, data=11010110, amt=5, result=10110110
Time=940000, data=11010110, amt=6, result=01011011
Time=950000, data=11010110, amt=7, result=10101101
Time=960000, data=11010110, amt=0, result=11010110
Time=970000, data=11010110, amt=1, result=01101011
Time=980000, data=11010110, amt=2, result=10110101
Time=990000, data=11010110, amt=3, result=11011010
Time=1000000, data=11010110, amt=4, result=01101101
