Vivado Simulator 2018.2
Time resolution is 1 ps
Time=0 | Count = 000 (0)
Time=15000 | Count = 001 (1)
Time=25000 | Count = 010 (2)
Time=35000 | Count = 011 (3)
Time=45000 | Count = 100 (4)
Time=55000 | Count = 101 (5)
Time=65000 | Count = 110 (6)
Time=75000 | Count = 111 (7)
Time=85000 | Count = 000 (0)
Time=95000 | Count = 001 (1)
Time=105000 | Count = 010 (2)
Time=115000 | Count = 011 (3)
Time=125000 | Count = 100 (4)
Time=135000 | Count = 101 (5)
Time=145000 | Count = 110 (6)
Time=155000 | Count = 111 (7)
Time=165000 | Count = 000 (0)
